Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,05/30/2022 10:35,Woodinville,WA,USA,Formation,4 objects flying in formation captured on video in the night sky over Western Washington,01/11/2024,,
Open,12/20/2021 18:15,Pompano Beach,FL,USA,Diamond,Observed light not moving,10/24/2023,,
Open !,12/03/2021 18:00,Sparta,CO,USA,Formation,Saw the object while in flight,12/03/2021,Y,Starlink
Open,05/01/2021 23:00,Stephenville,TX,USA,Unknown,"Craft above a small cabin causing extreme weather changes, animal agitation, feelings of presence, and psychological alterations.",08/30/2024,,
Open,01/07/2021 20:00,Oroville,WA,USA,Disk,Landed on the back pasture of my ranch,01/07/2024,,
Open,11/18/2020 14:00,San Diego,CA,USA,Orb,Silent metallic orb flies by at a consistent rate and path,11/23/2023,Y,
Open !,04/02/2015 23:56,Aiken,SC,USA,Cone,Super bright white exenon type cone light.,10/11/2024,,
Open,02/06/2014 12:00,Sanford,NC,USA,Light,Freakish Occurences and Light and cloud scenes 'X' in the sky,11/06/2023,,
Open !,05/22/2013 6:30,In flight,,Unspecified,Sphere,Unexplained glowing sphere in-flight en-route to LAX. ((NUFORC Note: Report from airline pilot. PD)),05/23/2013,,
Open !,03/13/2013 15:00,Plano,TX,USA,Orb,"Around 3 PM in the afternoon observed two white orbs hovering, two additional orbs approached, 4 orbs equidistant oriented N and S",03/08/2023,,
Open,09/03/2012 0:00,,,Unspecified,,"I was watching a video on HULU: UFOTV presents UFO's in South America, 2010. Unique UFO's formation of 20 or more on separate occas",09/03/2012,,
Open !,10/06/2011 18:00,Pottstown and Allentown (between; in flight),PA,USA,Disk,UFO came toward us at great speed and disappeared. We were flying a Cessna 152,07/26/2023,,
Open,02/20/2010 0:00,Corona,CA,USA,Triangle,A 5 orb triangular object/formation over Santiago Peak.,03/06/2024,,
Open,06/30/2000 22:15,Russia,,Russia,Other,Trails seen by pilot over russian airspace too high to be aircraft.,10/01/2000,,
Open !,11/05/1997 17:30,Danbury,CT,USA,Triangle,I saw an HUGE set of lights almost the same as the Phoenix sitings except both front sides of the mile wide triangle had white lights.,11/08/2024,,
Open !,03/01/1994 2:00,"Atlantic Ocean (inflight, USN P-3)",,Atlantic Ocean,Cylinder,Dramatic P-3 Orion Encounter,04/02/2005,,
Open !,08/19/1991 8:15,Belton,TX,USA,Sphere,"Some type of Electrically Propelled, composite fuselage, Craft floated overhead at a slow speed, heading toward Ft. Hood Army Post.",06/20/2023,Y,
Open !,10/05/1977 20:00,Duncan,OK,USA,Disk,"Disk hovers over home with no sound, then darts towards space, then darts across entire horizon multiple times before leaving",10/16/2024,Y,
Open !,08/16/1975 17:49,Mount Olive,NJ,USA,Disk,A large disk shaped craft hovered across a farm field tree top level.,08/03/2024,Y,
Open !,05/05/1973 11:30,Long Branch,NJ,USA,Oval,Large silver-gray object hovering over ground as seen from small aircraft,08/15/2023,,
Open,06/01/1963 12:00,Santa Cruz,CA,USA,Circle,Close view of UFO during daylight hours,12/30/2023,,
Open,07/13/1960 21:00,Yakima,WA,USA,Light,Outside and looked up and saw four bright objects saw four star like objects in pattern which then sped off in different directions.,03/09/2024,,
Open !,07/17/1954 15:00,Compton,CA,USA,Disk,"This sighting was filmed with a 8mm by one of the little league coach, with me in the foreground.",01/13/2024,,
